year_month,total_filings,filings_d_lawyer,filings_p_lawyer,pct_d_lawyer,pct_p_lawyer
2023-01,468,9,416,1.9,88.9
2023-02,478,8,407,1.7,85.1
2023-03,571,14,500,2.5,87.6
2023-04,469,23,411,4.9,87.6
2023-05,501,12,454,2.4,90.6
2023-06,502,13,436,2.6,86.9
2023-07,358,8,328,2.2,91.6
2023-08,447,8,386,1.8,86.4
2023-09,558,19,503,3.4,90.1
2023-10,542,13,471,2.4,86.9
2023-11,395,10,351,2.5,88.9
2023-12,378,8,330,2.1,87.3
2024-01,407,9,356,2.2,87.5
2024-02,389,4,339,1.0,87.1
2024-03,430,10,397,2.3,92.3
2024-04,354,12,304,3.4,85.9
2024-05,441,5,403,1.1,91.4
2024-06,338,10,300,3.0,88.8
2024-07,424,12,378,2.8,89.2
2024-08,431,6,391,1.4,90.7
2024-09,392,13,359,3.3,91.6
2024-10,393,18,364,4.6,92.6
2024-11,397,14,348,3.5,87.7
2024-12,339,9,311,2.7,91.7
2025-01,553,10,518,1.8,93.7
2025-02,521,14,479,2.7,91.9
2025-03,375,6,345,1.6,92.0
2025-04,402,15,356,3.7,88.6
2025-05,362,14,333,3.9,92.0
2025-06,411,14,369,3.4,89.8
2025-07,453,18,408,4.0,90.1
2025-08,354,18,318,5.1,89.8
2025-09,405,13,365,3.2,90.1
2025-10,381,11,338,2.9,88.7
2025-11,339,8,298,2.4,87.9
2025-12,362,10,329,2.8,90.9
